chromosome	nbrOfBases	nbrOfGenes
1	247200000	2968
2	243315028	2288
3	199450000	2032
4	191610523	1297
5	180967295	1643
6	170900000	1963
7	158820000	1443
8	146270000	1127
9	140440000	1299
10	135480874	1440
11	134978784	2093
12	133464434	1652
13	114151656	748
14	106360000	1098
15	100340000	1122
16	89995999	1098
17	81691216	1576
18	77753510	766
19	63810000	1454
20	63644868	927
21	46976537	303
22	49530000	288
X	154910000	1184
Y	57740000	231
M	16569	37
